"All Power Readings as of date(2016-01-08)"
Panel,Circuit,Reading,Reading%,Amps,Volts,On/Off,Date
"=""5-4""",16,4.00,20.00%,20,120,On,2015-04-07
"=""5-4""",17,0.00,0.000%,20,120,Off,2014-01-31
"=""5-4""",18,4.00,20.00%,20,120,On,2015-04-07
"=""5-4""",19,0.00,0.000%,20,120,Off,2014-01-31
"=""5-4""",20,13.53,67.65%,20,120,On,2015-10-23
"=""5-4""",21,9.18,45.90%,20,120,On,2015-10-23
"=""5-4""",22,15.68,78.40%,20,120,On,2015-10-23
"=""5-4""",23,10.76,53.80%,20,120,On,2015-10-23
"=""5-4""",24,9.67,48.35%,20,120,On,2015-07-10
"=""5-4""","=""35/37""",0.00,0.000%,20,208,Off,2014-01-31
"=""5-4""","=""39/41""",0.00,0.000%,30,208,Off,2014-01-31
"=""5-5""","=""1/3""",10.16,33.86%,30,208,On,2015-10-23
"=""5-5""",1,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",2,8.97,44.85%,20,120,On,2015-10-23
"=""5-5""",3,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",4,11.15,55.75%,20,120,On,2015-10-23
"=""5-5""","=""5/7""",11.42,38.06%,30,208,On,2015-10-23
"=""5-5""",5,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",6,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",7,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",8,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""","=""9/11""",4.94,16.46%,30,208,On,2015-10-23
"=""5-5""",9,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",10,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",11,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",12,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",13,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",14,7.28,36.40%,20,120,On,2015-10-23
"=""5-5""",15,12.85,64.25%,20,120,On,2015-10-23
"=""5-5""",16,6.82,34.10%,20,120,On,2015-10-23
"=""5-5""",17,0.00,0.000%,20,120,Off,2014-01-31
"=""5-5""",18,7.96,39.80%,20,120,On,2015-10-23
"=""5-5""",19,8.43,28.10%,30,120,On,2015-10-23
"=""5-5""",20,6.68,33.40%,20,120,On,2015-10-23
"=""5-5""",21,8.22,27.40%,30,120,On,2015-07-10
"=""5-5""",22,6.11,30.55%,20,120,On,2015-10-23
"=""5-5""",23,7.64,25.46%,30,120,On,2015-10-23
"=""5-5""",24,5.72,28.60%,20,120,On,2015-10-23
"=""5-5""","=""27/29""",14.63,48.76%,30,208,On,2015-10-23
"=""5-5""","=""31/33""",3.52,11.73%,30,208,On,2015-10-23
"=""5-5""","=""36/38""",0.00,0.000%,20,208,Off,2014-01-31
"=""5-5""","=""40/42""",0.00,0.000%,30,208,Off,2014-01-31
"=""5-6""","=""1/3""",5.75,19.16%,30,208,On,2015-10-23
"=""5-6""",1,5.95,29.75%,20,120,On,2015-04-08
"=""5-6""",2,5.93,29.65%,20,120,On,2015-10-23
"=""5-6""",3,5.00,25.00%,20,120,On,2015-04-07
"=""5-6""",4,6.39,31.95%,20,120,On,2015-10-23
"=""5-6""",5,0.00,0.000%,20,120,On,2015-07-10
"=""5-6""",6,6.33,31.65%,20,120,On,2015-10-23
"=""5-6""","=""7/9""",0.00,0.000%,30,208,On,2015-07-10
"=""5-6""",7,6.94,34.70%,20,120,Off,2014-01-31
"=""5-6""",8,8.22,41.10%,20,120,On,2015-10-23
"=""5-6""",9,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",10,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",11,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",12,8.36,41.80%,20,120,On,2015-10-23
"=""5-6""",13,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",14,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",15,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",16,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",17,10.25,51.25%,20,120,On,2015-10-23
"=""5-6""",18,9.78,48.90%,20,120,On,2015-10-23
"=""5-6""",19,13.06,43.53%,30,120,On,2015-10-23
"=""5-6""",20,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",21,14.26,47.53%,30,120,On,2015-10-23
"=""5-6""",22,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",23,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""",24,0.00,0.000%,20,120,Off,2014-01-31
"=""5-6""","=""25/27""",9.97,33.23%,30,208,On,2015-10-23
"=""5-6""","=""29/31""",12.64,42.13%,30,208,On,2015-10-23
"=""5-6""","=""33/35""",6.97,23.23%,30,208,On,2015-10-23
"=""5-7""",1,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""","=""2/4""",8.35,41.75%,20,208,On,2015-10-23
"=""5-7""",3,0.00,0.000%,20,120,Off,2014-07-21
"=""5-7""",5,0.00,0.000%,20,120,Off,2014-07-21
"=""5-7""",6,0.00,0.000%,20,120,On,2015-09-08
"=""5-7""",7,0.00,0.000%,20,120,Off,2014-07-21
"=""5-7""",8,4.72,23.60%,20,120,On,2015-10-23
"=""5-7""","=""9/11""",0.00,0.000%,30,208,Off,2014-07-21
"=""5-7""","=""10/12""",11.67,58.35%,20,208,On,2015-10-23
"=""5-7""",13,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""","=""14/16""",14.79,73.95%,20,208,On,2015-10-23
"=""5-7""",15,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",17,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",18,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",19,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",20,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",21,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",22,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",23,0.00,0.000%,20,120,Off,2014-01-31
"=""5-7""",24,0.00,0.000%,20,120,On,2015-07-10
"=""5-8""",1,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",3,0.00,0.000%,20,120,Off,2014-07-21
"=""5-8""",5,0.00,0.000%,20,120,Off,2014-07-21
"=""5-8""",6,6.05,30.25%,20,120,On,2015-10-23
"=""5-8""",7,0.00,0.000%,20,120,Off,2014-07-21
"=""5-8""",8,6.45,32.25%,20,120,On,2015-10-23
"=""5-8""","=""9/11""",0.00,0.000%,30,208,Off,2014-07-21
"=""5-8""","=""10/12""",15.35,76.75%,20,208,On,2015-10-23
"=""5-8""",13,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",15,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",17,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",18,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",19,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",20,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",21,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",22,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",23,0.00,0.000%,20,120,Off,2014-01-31
"=""5-8""",24,0.00,0.000%,20,120,Off,2014-01-31
6,1,0.00,0.000%,20,120,Off,2014-01-31
6,2,0.00,0.000%,20,120,Off,2014-01-31
6,3,0.00,0.000%,20,120,Off,2014-01-31
6,4,0.00,0.000%,20,120,Off,2014-01-31
6,5,0.00,0.000%,20,120,Off,2014-01-31
6,6,0.00,0.000%,20,120,On,2015-10-23
6,7,0.00,0.000%,20,120,Off,2014-01-31
6,8,1.34,6.700%,20,120,On,2015-10-23
6,9,0.00,0.000%,20,120,Off,2014-08-28
6,10,3.42,17.10%,20,120,On,2015-10-23
6,11,0.00,0.000%,20,120,Off,2014-08-28
6,12,5.12,25.60%,20,120,On,2015-10-23
6,13,3.17,15.85%,20,120,On,2015-10-23
6,14,0.00,0.000%,20,120,Off,2015-04-07
6,15,2.78,13.90%,20,120,On,2015-10-23
6,16,0.00,0.000%,20,120,Off,2015-04-07
6,17,6.31,31.55%,20,120,On,2015-10-23
6,18,5.65,28.25%,20,120,On,2015-10-23
6,19,6.51,32.55%,20,120,On,2015-10-23
6,20,4.96,24.80%,20,120,On,2015-10-23
6,21,3.67,18.35%,20,120,On,2015-10-23
6,22,6.92,34.60%,20,120,On,2015-10-23
6,23,10.92,54.60%,20,120,On,2015-10-23
6,24,7.33,36.65%,20,120,On,2015-10-23
6,25,0.00,0.000%,20,120,Off,2014-01-31
6,26,2.16,10.80%,20,120,On,2015-10-23
6,27,0.00,0.000%,20,120,Off,2014-01-31
6,28,1.53,7.650%,20,120,On,2015-10-23
6,29,0.00,0.000%,20,120,On,2015-07-14
6,30,0.00,0.000%,20,120,Off,2014-01-31
6,31,0.00,0.000%,20,120,On,2015-07-14
6,32,0.00,0.000%,20,120,Off,2014-01-31
6,33,1.00,5.000%,20,120,On,2015-07-14
6,34,0.00,0.000%,20,120,Off,2014-01-31
6,35,6.43,32.15%,20,120,On,2015-10-23
6,36,0.00,0.000%,20,120,Off,2014-01-31
6,38,0.00,0.000%,20,120,Off,2014-01-31
6,40,0.00,0.000%,20,120,Off,2014-01-31
7,1,0.00,0.000%,20,120,On,2015-07-14
7,2,0.00,0.000%,20,120,On,2015-07-14
7,3,3.15,15.75%,20,120,On,2015-10-23
7,4,0.00,0.000%,20,120,On,2015-07-14
7,5,0.00,0.000%,20,120,Off,2014-01-31
7,6,4.67,23.35%,20,120,On,2015-10-23
7,7,0.00,0.000%,20,120,Off,2014-01-31
7,8,6.22,31.10%,20,120,On,2015-10-23
7,9,0.00,0.000%,20,120,Off,2014-01-31
7,10,4.52,22.60%,20,120,On,2015-10-23
7,11,0.00,0.000%,20,120,Off,2014-01-31
7,12,3.05,15.25%,20,120,On,2015-10-23
7,13,2.38,11.90%,20,120,On,2015-10-23
7,14,8.26,41.30%,20,120,On,2015-10-23
7,15,3.29,16.45%,20,120,On,2015-10-23
7,16,2.81,14.05%,20,120,On,2015-10-23
7,17,0.00,0.000%,20,120,Off,2014-01-31
7,18,0.00,0.000%,20,120,On,2015-07-14
7,19,0.00,0.000%,20,120,Off,2014-01-31
7,20,1.24,6.200%,20,120,On,2015-10-23
7,21,0.00,0.000%,20,120,Off,2014-01-31
7,22,2.49,12.45%,20,120,On,2015-10-23
7,23,0.00,0.000%,20,120,Off,2014-01-31
7,24,2.07,10.35%,20,120,On,2015-10-23
7,25,0.00,0.000%,20,120,Off,2015-04-07
7,26,0.00,0.000%,20,120,Off,2014-01-31
7,27,0.00,0.000%,20,120,Off,2015-04-07
7,28,0.00,0.000%,20,120,Off,2014-01-31
7,29,1.25,6.250%,20,120,On,2015-10-23
7,31,0.00,0.000%,20,120,On,2015-07-14
7,33,0.00,0.000%,20,120,Off,2014-01-31
7,35,0.00,0.000%,20,120,Off,2014-01-31
8,1,0.00,0.000%,20,120,Off,2014-01-31
8,2,0.00,0.000%,20,120,Off,2015-04-07
8,3,0.00,0.000%,20,120,Off,2014-01-31
8,4,0.00,0.000%,20,120,Off,2015-04-07
8,5,0.00,0.000%,20,120,On,2015-07-14
8,6,6.73,33.65%,20,120,On,2015-10-23
8,7,0.00,0.000%,20,120,On,2015-07-14
8,8,7.15,35.75%,20,120,On,2015-10-23
8,9,4.75,23.75%,20,120,On,2015-10-23
8,10,0.00,0.000%,20,120,On,2015-07-14
8,11,9.22,46.10%,20,120,On,2015-10-23
8,12,0.00,0.000%,20,120,On,2015-07-14
8,13,0.00,0.000%,20,120,On,2015-07-14
8,14,0.00,0.000%,20,120,Off,2014-10-27
8,15,0.00,0.000%,20,120,On,2015-07-14
8,16,0.00,0.000%,20,120,Off,2014-10-27
8,17,0.00,0.000%,20,120,Off,2014-01-31
8,18,0.00,0.000%,20,120,On,2015-07-14
8,19,0.00,0.000%,20,120,Off,2014-01-31
8,20,0.00,0.000%,20,120,On,2015-07-14
8,21,0.00,0.000%,20,120,Off,2015-04-07
8,22,5.88,29.40%,20,120,On,2015-10-23
8,23,0.00,0.000%,20,120,Off,2015-04-07
8,24,2.06,10.30%,20,120,On,2015-10-23
8,25,0.00,0.000%,20,120,On,2015-07-14
8,26,0.00,0.000%,20,120,Off,2014-01-31
8,27,0.00,0.000%,20,120,Off,2014-01-31
8,28,0.00,0.000%,20,120,Off,2014-01-31
8,29,1.19,5.950%,20,120,On,2015-10-23
8,31,0.00,0.000%,20,120,Off,2014-01-31
8,33,0.00,0.000%,20,120,Off,2014-01-31
8,35,0.00,0.000%,20,120,Off,2014-01-31
9,1,0.00,0.000%,20,120,Off,2014-07-21
9,2,0.00,0.000%,20,120,Off,2014-01-31
9,3,0.00,0.000%,20,120,Off,2014-07-21
9,4,0.00,0.000%,20,120,Off,2014-01-31
9,5,0.00,0.000%,20,120,On,2015-07-14
9,6,0.00,0.000%,20,120,Off,2014-01-31
9,7,0.00,0.000%,20,120,On,2015-07-14
9,8,0.00,0.000%,20,120,Off,2014-01-31
9,9,0.00,0.000%,20,120,Off,2015-04-07
9,10,5.55,27.75%,20,120,On,2015-10-23
9,11,0.00,0.000%,20,120,Off,2015-04-07
9,12,9.03,45.15%,20,120,On,2015-10-23
9,13,0.00,0.000%,20,120,Off,2014-01-31
9,14,0.00,0.000%,20,120,Off,2014-01-31
9,15,0.00,0.000%,20,120,Off,2014-01-31
9,16,0.00,0.000%,20,120,Off,2014-01-31
9,17,0.00,0.000%,20,120,Off,2015-04-07
9,18,0.00,0.000%,20,120,Off,2014-01-31
9,19,0.00,0.000%,20,120,Off,2015-04-07
9,20,0.00,0.000%,20,120,Off,2014-01-31
9,21,0.00,0.000%,20,120,Off,2014-01-31
9,22,0.00,0.000%,20,120,Off,2014-01-31
9,23,0.00,0.000%,20,120,Off,2014-01-31
9,24,0.00,0.000%,20,120,Off,2014-01-31
9,25,0.00,0.000%,20,120,Off,2014-01-31
9,26,0.00,0.000%,20,120,Off,2014-01-31
9,27,0.00,0.000%,20,120,Off,2014-01-31
9,28,0.00,0.000%,20,120,Off,2014-01-31
9,29,0.00,0.000%,20,120,On,2015-07-14
9,31,1.63,8.150%,20,120,On,2015-10-23
9,33,0.00,0.000%,20,120,Off,2014-01-31
9,35,0.00,0.000%,20,120,Off,2014-01-31
